gene	cell_type	AAB_vs_Control	tau	top_celltype	above_floor	call	is_called_ct	confident_call
NUPR1	beta cell	-0.0167585127055645	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
NUPR1	delta cell	-0.019031818956136703	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
NUPR1	duct epithelial cell	0.03476199507713318	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
NUPR1	endothelial cell	0.037057265639305115	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
NUPR1	epsilon cell	0.0	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
NUPR1	leukocyte	-0.09876388311386108	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
NUPR1	mesenchymal cell	0.08856463432312012	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	True	True
NUPR1	unknown	-0.0051383525133132935	0.7728066017442601	mesenchymal cell	True	mesenchymal cell	False	True
STAT4	PP cell	0.04226025566458702	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	acinar cell	0.0011530730407685041	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	alpha cell	-0.009658779948949814	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	beta cell	-0.003659401088953018	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	delta cell	-0.00040999334305524826	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	duct epithelial cell	0.0015993425622582436	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	endothelial cell	-0.0010058751795440912	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	epsilon cell	-0.0289306640625	0.7627352855907559	epsilon cell	False	below detection	True	False
STAT4	leukocyte	-0.012097234837710857	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	mesenchymal cell	0.0006151122506707907	0.7627352855907559	epsilon cell	False	below detection	False	False
STAT4	unknown	-0.00012305332347750664	0.7627352855907559	epsilon cell	False	below detection	False	False
CD6	PP cell	0.0	0.7600157586925308	delta cell	False	below detection	False	False
CD6	acinar cell	0.0023436397314071655	0.7600157586925308	delta cell	False	below detection	False	False
CD6	alpha cell	-0.00024320813827216625	0.7600157586925308	delta cell	False	below detection	False	False
CD6	beta cell	0.0016697291284799576	0.7600157586925308	delta cell	False	below detection	False	False
CD6	delta cell	-0.0016926191747188568	0.7600157586925308	delta cell	False	below detection	True	False
CD6	duct epithelial cell	0.0005198264843784273	0.7600157586925308	delta cell	False	below detection	False	False
CD6	endothelial cell	0.0	0.7600157586925308	delta cell	False	below detection	False	False
CD6	epsilon cell	0.0	0.7600157586925308	delta cell	False	below detection	False	False
CD6	leukocyte	0.002662023762241006	0.7600157586925308	delta cell	False	below detection	False	False
CD6	mesenchymal cell	8.380805957131088e-05	0.7600157586925308	delta cell	False	below detection	False	False
CD6	unknown	0.0009148069657385349	0.7600157586925308	delta cell	False	below detection	False	False
RPS6KA4	PP cell	-0.008063279092311859	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	acinar cell	0.02012041211128235	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	alpha cell	-0.0019149444997310638	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	beta cell	0.006276682019233704	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	delta cell	-0.01505742222070694	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	duct epithelial cell	0.038626596331596375	0.7592016657409989	duct epithelial cell	False	below detection	True	False
RPS6KA4	endothelial cell	-0.0025482121855020523	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	epsilon cell	-0.010609395802021027	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	leukocyte	0.011497601866722107	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	mesenchymal cell	0.014293909072875977	0.7592016657409989	duct epithelial cell	False	below detection	False	False
RPS6KA4	unknown	0.001775586511939764	0.7592016657409989	duct epithelial cell	False	below detection	False	False
COLEC10	PP cell	-0.0013262579450383782	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	acinar cell	-0.00021667568944394588	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	alpha cell	-0.0007909085252322257	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	beta cell	-0.0009771189652383327	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	delta cell	-0.0012561784824356437	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	duct epithelial cell	-0.0002558340784162283	0.7551993635652947	duct epithelial cell	False	below detection	True	False
COLEC10	endothelial cell	0.0	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	epsilon cell	0.0	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	leukocyte	0.0	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	mesenchymal cell	-0.0007745516486465931	0.7551993635652947	duct epithelial cell	False	below detection	False	False
COLEC10	unknown	0.0003536465228535235	0.7551993635652947	duct epithelial cell	False	below detection	False	False
STK39	PP cell	-0.026571238413453102	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	acinar cell	0.019945800304412842	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	alpha cell	0.019974779337644577	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	beta cell	-0.0029812492430210114	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	delta cell	0.025144796818494797	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	duct epithelial cell	0.007127970457077026	0.7491070644755593	duct epithelial cell	False	below detection	True	False
STK39	endothelial cell	6.043538451194763e-05	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	epsilon cell	-0.04175042733550072	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	leukocyte	-0.005135470535606146	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	mesenchymal cell	0.002929985523223877	0.7491070644755593	duct epithelial cell	False	below detection	False	False
STK39	unknown	0.008218662813305855	0.7491070644755593	duct epithelial cell	False	below detection	False	False
COBL	PP cell	0.003720436245203018	0.7475755592836923	duct epithelial cell	False	below detection	False	False
COBL	acinar cell	0.02864409238100052	0.7475755592836923	duct epithelial cell	False	below detection	False	False
COBL	alpha cell	0.03703349828720093	0.7475755592836923	duct epithelial cell	False	below detection	False	False
COBL	beta cell	-0.0011016875505447388	0.7475755592836923	duct epithelial cell	False	below detection	False	False
